Timestamp,Usuario,NFC ID,Lote,Blanco,Negro,Estado,Origen
2025-02-27 16:39:22,Sofi,1dbdbc5b980000,3,0,1,nfc_OK,esp32
2025-02-27 16:38:48,Sofi,1d65955b980000,3,0,1,nfc_OK,esp32
2025-02-27 16:27:37,Pablo,1de92ae7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:27:33,Pablo,1de82ae7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:27:27,Pablo,1de72ae7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:27:21,Pablo,1de62ae7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:27:08,Pablo,1de52ae7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:27:04,Pablo,1de42ae7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:26:59,Pablo,1d0063e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:26:53,Pablo,1d6520e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:26:43,Pablo,1d0163e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:26:38,Pablo,1d0263e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:26:31,Pablo,1d0363e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:26:24,Pablo,1d0463e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:26:20,Pablo,1d0563e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:26:15,Pablo,1d0663e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:26:00,Pablo,1d0763e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:25:49,Pablo,1d6620e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:25:42,Pablo,1d3d63e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:25:36,Pablo,1d5420e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:25:33,Pablo,1d4b20e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:25:28,Pablo,1d4c20e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:25:23,Pablo,1d4d20e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:25:19,Pablo,1d4e20e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:25:15,Pablo,1d4f20e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:25:11,Pablo,1d6720e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:25:05,Pablo,1d5020e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:25:00,Pablo,1d7e20e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:24:53,Pablo,1d5120e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:24:49,Pablo,1d5220e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:24:46,Pablo,1d5320e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:24:33,Pablo,1d7920e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:24:30,Pablo,1de32ae7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:24:18,Pablo,1d6820e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:24:13,Pablo,1d3c2be7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:24:09,Pablo,1de22ae7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:24:01,Pablo,1de02ae7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:23:59,Pablo,1ddf2ae7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:23:49,Pablo,1dde2ae7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:23:45,Pablo,1d3b2be7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:23:42,Pablo,1d8020e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:23:37,Pablo,1d4520e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:23:29,Pablo,1d7a20e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:23:23,Pablo,1d7820e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:23:19,Pablo,1d7720e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:23:12,Pablo,1d7f20e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:23:08,Pablo,1d7520e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:23:02,Pablo,1d7420e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:22:58,Pablo,1d7320e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:22:53,Pablo,1d7220e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:22:12,Pablo,1d7120e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:22:08,Pablo,1d7020e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:22:03,Pablo,1d6f20e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:21:55,Pablo,1d73f8e6980000,4,1,0,nfc_OK,esp32
2025-02-27 16:21:49,Pablo,1d72f8e6980000,4,1,0,nfc_OK,esp32
2025-02-27 16:21:43,Pablo,1d71f8e6980000,4,1,0,nfc_OK,esp32
2025-02-27 16:21:37,Pablo,1d70f8e6980000,4,1,0,nfc_OK,esp32
2025-02-27 16:21:33,Pablo,1d69f8e6980000,4,1,0,nfc_OK,esp32
2025-02-27 16:21:28,Pablo,1d6af8e6980000,4,1,0,nfc_OK,esp32
2025-02-27 16:21:22,Pablo,1d3f20e7980000,4,1,0,nfc_OK,esp32
2025-02-27 16:21:15,Pablo,1d4020e7980000,4,1,0,nfc_OK,esp32
